park_id,name,state_or_territory,latitude,longitude,established_date,area_acres,recreation_visitors_2021,description
712115fc-d64c-533f-b008-db23f5af525e,Kobuk Valley,Alaska,67.55,-159.28,1980-12-02,1750716.16,11540,"Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils."
e088538c-c58a-5b2f-a448-b41539554f0d,Lake Clark,Alaska,60.97,-153.42,1980-12-02,2619816.49,18278,"The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape."
f7ff1640-1a80-596d-a749-6718c3fc0110,Lassen Volcanic,California,40.49,-121.51,1916-08-09,106589.02,359635,"Lassen Peak, the largest lava dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder cone, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak."
3bd0a2b9-4a66-5568-867b-719fc11295bd,Mammoth Cave,Kentucky,37.18,-86.1,1941-07-01,54016.29,515774,"With more than 400 miles (640 km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs. (WHS) (BR)"
20d92871-34f5-584e-b2e9-09dcaa01ab7f,Mesa Verde,Colorado,37.18,-108.49,1906-06-29,52485.17,548477,"This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels. (WHS)"
0d727be3-9dcd-578f-a0f3-208e44d803b0,Mount Rainier,Washington,46.85,-121.75,1899-03-02,236381.64,1670063,"Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the longest and largest in the contiguous United States respectively. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is among the snowiest places on Earth. The Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain."
717c6276-e591-5527-af9f-9ae66a47751f,New River Gorge,West Virginia,38.07,-81.08,2020-12-27,7021,1682720,"The New River Gorge is the deepest river gorge east of the Mississippi River. The park primarily covers the lower gorge area around the New River Gorge Bridge, which features some of the country's best whitewater rafting. Smaller noncontiguous sections showcase the ghost town of Thurmond, the scenic Grandview vista, and Sandstone Falls. The other 65,165 acres (263.71 km2) of the redesignated national river is now a national preserve, spanning 53 mi (85 km) of the New River."
0d3d626f-c15d-5918-abfd-a9039e447b9e,North Cascades,Washington,48.7,-121.2,1968-10-02,504780.94,17855,"The highly glaciated mountains of the North Cascades Range exhibit a spectacular and complex geologic history. Between the river valleys and high peaks there are eight diverse life zones with 75 mammal and 1,600 vascular plant species. Popular hiking and climbing areas of the Stephen Mather Wilderness include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak. Ross Lake and Lake Chelan National Recreation Areas adjoin the two segments of the park and are all administered together."
fffdc596-a337-584a-9b59-70a0b1bada5d,Olympic,Washington,47.97,-123.5,1938-06-29,922649.41,2718925,"This park on the Olympic Peninsula includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the glaciated alpine peaks of the Olympic Mountains, the tallest of which is Mount Olympus. The Hoh and Quinault Rainforests are the wettest areas in the contiguous United States, with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year. (WHS) (BR)"
d646aba9-e7b9-57ae-a5c3-f9b630c000aa,Petrified Forest,Arizona,35.07,-109.78,1962-12-09,221390.21,590334,This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.
3688e15e-dd78-520d-ace3-77354cb99400,Pinnacles,California,36.48,-121.16,2013-01-10,26685.73,348857,"Named for the eroded leftovers of a portion of an extinct volcano, the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is one of the few locations where the endangered California condor can be seen in the wild. Pinnacles also supports a dense population of prairie falcons and more than 13 species of bat that populate its talus caves."
d49cf4cd-37f3-55ce-a194-a61e0e318bd2,Redwood,California,41.3,-124,1968-10-02,138999.37,435879,"This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species. (WHS)"
e901f52b-5120-56bb-9f7d-c78327fa0ad3,Rocky Mountain,Colorado,40.4,-105.58,1915-01-26,265807.24,4434848,"Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including elk, moose, mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the historic Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700 m). (BR)"
a2be7801-ca3d-5737-8b06-20f97f75131a,Saguaro,Arizona,32.25,-110.5,1994-10-14,92867.42,1079786,"Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas."
83e3eee6-ae98-5cbf-8aaf-e2a2971c02b2,Sequoia,California,36.43,-118.68,1890-09-25,404062.63,1059548,"This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest measured tree in the park. Other features include over 240 caves, a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a large granite dome. (BR)"
3aea309e-216a-5c59-a2bf-9fc598b092a0,Shenandoah,Virginia,38.53,-78.35,1935-12-26,200192.09,1592312,"Shenandoah's Blue Ridge Mountains are covered by hardwood forests that teem with a wide variety of wildlife. The Skyline Drive and Appalachian Trail run the entire length of this narrow park, along with more than 500 miles (800 km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River."
96cbfd43-24c7-5852-866a-64bced2d1edd,Theodore Roosevelt,North Dakota,46.97,-103.45,1978-11-10,70446.89,796085,"This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison, pronghorn, bighorn sheep, and wild horses."
c6978ef7-8437-5404-8708-e0da76a79cde,Virgin Islands,U.S. Virgin Islands,18.33,-64.73,1956-08-02,15052.33,323999,"This island park on Saint John preserves pristine beaches surrounded by mangrove forests, seagrass beds, and coral reefs. It also has Taíno archaeological sites and the ruins of sugar plantations from Columbus's time."
5d5f00e4-e5c5-5d3b-b121-02f08d1ac713,Voyageurs,Minnesota,48.5,-92.88,1975-04-08,218222.35,243042,"This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing. The park also preserves a history populated by Ojibwe Native Americans, French fur traders called voyageurs, and gold miners. Formed by glaciers, the region features tall bluffs, rock gardens, islands, bays, and several historic buildings."
58bcf924-539e-56e8-9d5a-71fe01019bdf,White Sands,New Mexico,32.78,-106.17,2019-12-20,146344.31,782469,"Located in the mountain-ringed Tularosa Basin, White Sands consists of the southern part of a 275-square-mile (710 km2) field of white sand dunes composed of gypsum crystals—the world's largest gypsum dunefield. The park is completely within the White Sands Missile Range and is subject to closure when tests are conducted."
4bc6399b-86cc-59d3-bcbd-975562bae4fc,Wind Cave,South Dakota,43.57,-103.48,1903-01-09,33970.84,709001,"Wind Cave is distinctive for its calcite fin formations called boxwork, a unique formation rarely found elsewhere, and needle-like growths called frostwork. It is one of the longest caves in the world and creates a wind as air pressure changes. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs and ponderosa pine forests home to cougars and elk. The cave is culturally significant to the Lakota people as a creation site."
84666ff7-12e5-54ec-8385-a220bd349c10,Wrangell–St. Elias,Alaska,61,-142,1980-12-02,8323146.48,50189,"The largest national park in the system protects the convergence of the Alaska, Chugach, Wrangell, and Saint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier. (WHS)"
1efeef1b-9ebd-5fa4-bcbc-9c6ca5e3c4c0,Yellowstone,"Wyoming, Montana, Idaho",44.6,-110.5,1872-03-01,2219790.71,4860242,"Situated on the Yellowstone Caldera, the park has an expansive network of geothermal areas including boiling mud pots, vividly colored hot springs such as Grand Prismatic Spring, and regularly erupting geysers, the best-known being Old Faithful. The yellow-hued Grand Canyon of the Yellowstone River contains several high waterfalls, and four mountain ranges traverse the park. More than 60 mammal species including timber wolves, grizzly bears, black bears, lynxes, bison, and elk make this park one of the best wildlife viewing spots in the country. (WHS) (BR)"
a0ad6547-be91-52f4-967a-ede8d276b135,Yosemite,California,37.83,-119.5,1890-10-01,761747.50,3287595,"Yosemite features sheer granite cliffs, exceptionally tall waterfalls, and old-growth forests at a unique intersection of geology and hydrology. Half Dome and El Capitan rise from the park's centerpiece, the glacier-carved Yosemite Valley, and from its vertical walls drop Yosemite Falls, one of North America's tallest waterfalls at 2,425 feet (739 m) high. Three giant sequoia groves, along with a pristine wilderness in the heart of the Sierra Nevada, are home to a wide variety of rare plant and animal species. (WHS)"
0060f77a-161a-5db2-96a5-bd6dd15804be,Zion,Utah,37.3,-113.05,1919-11-19,147242.66,5039835,"Located at the junction of the Colorado Plateau, Great Basin, and Mojave Desert, this park contains sandstone features such as mesas, rock towers, and canyons, including the Virgin River Narrows. The various sandstone formations and the forks of the Virgin River create a wilderness divided into four ecosystems: desert, riparian, woodland, and coniferous forest."
